split,group_column,group_value,row_count,mae,rmse,mean_error,median_absolute_error,p90_absolute_error,total_error_contribution
test,Route,903,420,6.2825710188774835,17.03445144608346,-4.871856160958608,3.137418031692505,9.486715936660769,2638.679827928543
test,Route,65,272,9.593508311930824,26.65462119814831,-2.6500526473802677,2.4320216178894034,19.743636322021498,2609.4342608451843
test,Route,13,178,14.49976140729497,24.166920967243847,1.0198153190398485,9.887818813323975,24.58398475646973,2580.9575304985046
test,Route,114,205,12.254113875365839,24.519870527724226,0.2424823051545678,6.037270545959473,26.58120040893555,2512.093344449997
test,Route,9,202,12.411021437975439,29.701786385763167,-8.443596025504688,6.01536750793457,16.510655832290652,2507.026330471039
test,Route,90,308,8.098577782705233,25.581986357669663,-4.288877863388557,1.5275964736938477,11.868062973022464,2494.3619570732117
test,Route,301,155,16.00204367176179,30.40708756371623,-10.1377058306048,8.965105056762695,26.639430618286127,2480.3167691230774
test,Route,112,293,8.463866725309718,16.515970536783414,-2.3884043286684835,5.559642791748047,15.84279022216797,2479.912950515747
test,Route,64,347,7.102369963263915,21.780682121425055,-3.011321759704898,1.6047935485839844,12.496151924133308,2464.5223772525787
test,Route,88,201,12.228988474281273,18.33054703023243,-4.56174700770212,9.624478340148926,23.163822174072266,2458.026683330536
test,Route,131,419,5.809832229250087,17.956597227695962,-3.4818921100552727,2.3178091049194336,8.905313301086425,2434.319704055786
test,Route,925,404,5.9522512909209375,15.668480116953829,-0.9249900939440964,2.3681249618530273,10.412436485290527,2404.7095215320587
test,Route,927,530,4.446875822319175,16.1286538475018,-2.19293568989016,1.404691219329834,8.114083003997807,2356.8441858291626
test,Route,70,287,8.173781961514145,17.03743746852854,3.0161056767772716,4.494751930236816,14.830404090881355,2345.8754229545593
test,Route,935,538,4.316602518124208,10.378671528566,-0.9389015564688077,2.438441753387451,6.713888931274415,2322.332154750824
test,Route,98,183,12.668227860184967,27.352655919444278,-5.255957408029525,6.3109893798828125,22.01682510375977,2318.285698413849
test,Route,122,221,10.105787564187029,20.3681509019908,-3.6347283734455367,6.555879592895508,15.032803535461426,2233.3790516853333
test,Route,160,203,10.999943183560676,16.898983558256674,0.5339084352765765,9.531960487365724,19.301134872436524,2232.9884662628174
test,Route,42,280,7.855330344608852,18.574222441502968,-2.482899808883667,3.5392417907714853,14.9991364479065,2199.4924964904785
test,Route,130,221,9.861990548906283,18.20805239084868,-4.0594863244311306,5.908464431762695,19.22649383544922,2179.4999113082886
test,Route,168,289,7.425994991843676,16.902858486696836,-2.454906744115493,4.718586921691896,12.044627952575683,2146.1125526428223
test,Route,134,241,8.803522476022174,22.15658595435515,-6.069266491411138,2.621771812438965,16.534164428710938,2121.648916721344
test,Route,14,222,9.500658693614307,17.898941538472094,-2.5819195616352664,5.896744728088379,18.708717155456544,2109.146229982376
test,Route,21,247,8.52034906626713,15.287744972503802,-5.533398952561352,5.099773406982422,16.343916320800783,2104.526219367981
test,Route,107,160,12.470829969644546,24.446602349692874,-6.571983188390732,6.442524433135985,24.936660575866686,1995.3327951431274
test,Route,169,175,11.211756003243583,20.631966961738886,-5.57639894757952,7.182125091552734,19.387408065795896,1962.057300567627
test,Route,46,204,9.478155582558875,22.80517402222606,-4.873690916042702,4.865747451782227,15.228360939025894,1933.5437388420105
test,Route,26,191,10.007949771681382,13.494567666791156,-2.004560468084525,8.030851364135746,18.962203979492188,1911.518406391144
test,Route,80,189,9.492478602777712,21.10080980196624,-0.7863794508434477,3.7596664428710973,19.142561721801766,1794.0784559249876
test,Route,996,370,4.77486406274744,16.06096952492929,-1.8214991105569376,1.2916605472564706,9.426289176940925,1766.6997032165527
test,Route,8,145,12.068827497548071,27.833195830035102,-4.841512410394077,5.0507659912109375,21.623706817626953,1749.9799871444702
test,Route,31,164,10.363821314602363,26.42889922193739,-3.9479341274354516,2.443763732910157,25.901740264892595,1699.6666955947876
test,Route,50,111,15.10343616932362,35.906897889902496,-10.181412000913877,4.6856184005737305,26.878939628601074,1676.4814147949219
test,Route,104,151,11.04637061681179,20.831087476692343,-5.649814817289643,8.884407043457031,16.536672592163086,1668.0019631385803
test,Route,67,164,9.939007064191307,20.77534038622101,-3.21459843763491,4.022319793701172,22.553430938720716,1629.9971585273743
test,Route,57,205,7.878482367352741,17.935976835005455,-4.728074632039884,4.557750701904297,13.417210388183587,1615.088885307312
