split,threshold_minutes,group_column,group_value,row_count,actual_severe_delay_rate,mean_predicted_severe_delay_probability,probability_calibration_gap,false_negative_rate
test,30,Location,EGLINTON AND KEELE,101,0.009900990099009901,0.04885150657247488,0.03895051647346498,0.0
test,30,Location,FINCH WEST STATION,416,0.009615384615384616,0.0207986924125669,0.011183307797182285,0.0
test,30,Route,169,175,0.8914285714285715,0.7428679713181087,-0.1485606001104628,0.0
test,30,Route,109,175,0.4857142857142857,0.41381970950535363,-0.07189457620893208,0.07058823529411765
test,30,Route,97,406,0.47044334975369456,0.7291826702691064,0.2587393205154119,0.0
test,30,Route,59,222,0.3918918918918919,0.44294390227511393,0.051052010383222046,0.11494252873563218
test,30,Route,14,222,0.3783783783783784,0.10642575518739919,-0.27195262319097924,0.8095238095238095
test,30,Route,79,407,0.33415233415233414,0.11468605226573945,-0.21946628188659467,0.7205882352941176
test,30,Route,107,160,0.325,0.3953487280406989,0.07034872804069892,0.038461538461538464
test,30,Route,26,191,0.3193717277486911,0.3683014756839001,0.04892974793520899,0.18032786885245902
test,30,Route,122,221,0.29411764705882354,0.21917427132512987,-0.07494337573369367,0.2
test,30,Route,15,123,0.2926829268292683,0.2191818467969817,-0.07350108003228659,0.027777777777777776
test,30,Route,98,183,0.28415300546448086,0.2891569280274253,0.005003922562944463,0.11538461538461539
test,30,Route,130,221,0.27601809954751133,0.4060902153205009,0.13007211577298955,0.0
test,30,Route,508,100,0.27,0.22825103795155882,-0.041748962048441196,0.2222222222222222
test,30,Route,78,131,0.26717557251908397,0.3482876265890726,0.08111205406998862,0.02857142857142857
test,30,Route,126,156,0.26282051282051283,0.47278573473867697,0.20996522191816414,0.024390243902439025
test,30,Route,301,155,0.25806451612903225,0.22646834214608516,-0.03159617398294709,0.35
test,30,Route,118,307,0.254071661237785,0.47120819811129805,0.21713653687351303,0.038461538461538464
test,30,Route,19,238,0.24369747899159663,0.3748776102047257,0.13118013121312908,0.08620689655172414
test,30,Route,68,455,0.22857142857142856,0.22691103404612986,-0.001660394525298703,0.3557692307692308
test,30,Route,110,307,0.2280130293159609,0.15100364298453545,-0.07700938633142546,0.34285714285714286
test,30,Route,105,124,0.21774193548387097,0.1555041976858892,-0.06223773779798178,0.037037037037037035
test,30,Route,13,178,0.21348314606741572,0.44511940231902547,0.23163625625160975,0.05263157894736842
